ROI Label,Hemisphere,Network,Label Name,R,A,S
1,LH,Vis,Vis_1_LH,-26,-34,-17
2,LH,Vis,Vis_2_LH,-26,-77,-14
3,LH,Vis,Vis_3_LH,-17,-60,-7
4,LH,Vis,Vis_4_LH,-27,-95,-4
5,LH,Vis,Vis_5_LH,-5,-92,-2
6,LH,Vis,Vis_6_LH,-12,-67,7
7,LH,Vis,Vis_7_LH,-47,-71,11
8,LH,Vis,Vis_8_LH,-25,-88,20
9,LH,Vis,Vis_9_LH,-6,-82,26
10,LH,SomMot,SomMot_1_LH,-53,-23,8
11,LH,SomMot,SomMot_2_LH,-37,-21,16
12,LH,SomMot,SomMot_3_LH,-54,-12,13
13,LH,SomMot,SomMot_4_LH,-55,-8,34
14,LH,SomMot,SomMot_5_LH,-39,-23,59
15,LH,SomMot,SomMot_6_LH,-6,-29,70
16,LH,DorsAttn,DorsAttn_Post_1_LH,-47,-58,-13
17,LH,DorsAttn,DorsAttn_Post_2_LH,-57,-25,39
18,LH,DorsAttn,DorsAttn_Post_3_LH,-24,-68,49
19,LH,DorsAttn,DorsAttn_Post_4_LH,-42,-34,48
20,LH,DorsAttn,DorsAttn_Post_5_LH,-6,-60,56
21,LH,DorsAttn,DorsAttn_Post_6_LH,-22,-51,66
22,LH,DorsAttn,DorsAttn_PrCv_1_LH,-48,6,28
23,LH,DorsAttn,DorsAttn_FEF_1_LH,-26,-3,59
24,LH,SalVentAttn,SalVentAttn_ParOper_1_LH,-59,-38,29
25,LH,SalVentAttn,SalVentAttn_FrOperIns_1_LH,-41,-1,-7
26,LH,SalVentAttn,SalVentAttn_FrOperIns_2_LH,-38,12,6
27,LH,SalVentAttn,SalVentAttn_PFCl_1_LH,-30,44,30
28,LH,SalVentAttn,SalVentAttn_Med_1_LH,-5,20,34
29,LH,SalVentAttn,SalVentAttn_Med_2_LH,-11,-34,45
30,LH,SalVentAttn,SalVentAttn_Med_3_LH,-6,4,62
31,LH,Limbic,Limbic_OFC_1_LH,-14,32,-20
32,LH,Limbic,Limbic_TempPole_1_LH,-32,2,-37
33,LH,Limbic,Limbic_TempPole_2_LH,-57,-33,-21
34,LH,Cont,Cont_Par_1_LH,-37,-53,46
35,LH,Cont,Cont_PFCl_1_LH,-43,33,21
36,LH,Cont,Cont_pCun_1_LH,-9,-73,38
37,LH,Cont,Cont_Cing_1_LH,-4,-26,33
38,LH,Default,Default_Temp_1_LH,-55,-4,-20
39,LH,Default,Default_Temp_2_LH,-58,-32,-1
40,LH,Default,Default_Par_1_LH,-57,-50,12
41,LH,Default,Default_Par_2_LH,-48,-63,35
42,LH,Default,Default_PFC_1_LH,-35,21,-11
43,LH,Default,Default_PFC_2_LH,-47,33,-3
44,LH,Default,Default_PFC_3_LH,-6,47,0
45,LH,Default,Default_PFC_4_LH,-24,61,-1
46,LH,Default,Default_PFC_5_LH,-9,48,41
47,LH,Default,Default_PFC_6_LH,-41,14,48
48,LH,Default,Default_PFC_7_LH,-25,20,51
49,LH,Default,Default_pCunPCC_1_LH,-11,-56,13
50,LH,Default,Default_pCunPCC_2_LH,-6,-53,33
51,RH,Vis,Vis_1_RH,32,-31,-22
52,RH,Vis,Vis_2_RH,27,-66,-12
53,RH,Vis,Vis_3_RH,49,-60,-11
54,RH,Vis,Vis_4_RH,22,-96,-5
55,RH,Vis,Vis_5_RH,8,-76,5
56,RH,Vis,Vis_6_RH,17,-57,5
57,RH,Vis,Vis_7_RH,36,-82,16
58,RH,Vis,Vis_8_RH,13,-86,29
59,RH,SomMot,SomMot_1_RH,53,-16,7
60,RH,SomMot,SomMot_2_RH,40,-15,15
61,RH,SomMot,SomMot_3_RH,57,-4,11
62,RH,SomMot,SomMot_4_RH,58,-5,31
63,RH,SomMot,SomMot_5_RH,47,-11,48
64,RH,SomMot,SomMot_6_RH,41,-22,60
65,RH,SomMot,SomMot_7_RH,30,-37,64
66,RH,SomMot,SomMot_8_RH,6,-26,70
67,RH,DorsAttn,DorsAttn_Post_1_RH,50,-62,16
68,RH,DorsAttn,DorsAttn_Post_2_RH,50,-24,42
