no,atlas,network,label,hemisphere,X,Y,Z
1,schaefer,Vis,Vis_1_LH,left,-26,-34,-17
2,schaefer,Vis,Vis_2_LH,left,-26,-77,-14
3,schaefer,Vis,Vis_3_LH,left,-17,-60,-7
4,schaefer,Vis,Vis_4_LH,left,-27,-95,-4
5,schaefer,Vis,Vis_5_LH,left,-5,-92,-2
6,schaefer,Vis,Vis_6_LH,left,-12,-67,7
7,schaefer,Vis,Vis_7_LH,left,-47,-71,11
8,schaefer,Vis,Vis_8_LH,left,-25,-88,20
9,schaefer,Vis,Vis_9_LH,left,-6,-82,26
10,schaefer,SomMot,SomMot_1_LH,left,-53,-23,8
11,schaefer,SomMot,SomMot_2_LH,left,-37,-21,16
12,schaefer,SomMot,SomMot_3_LH,left,-54,-12,13
13,schaefer,SomMot,SomMot_4_LH,left,-55,-8,34
14,schaefer,SomMot,SomMot_5_LH,left,-39,-23,59
15,schaefer,SomMot,SomMot_6_LH,left,-6,-29,70
16,schaefer,DorsAttn,DorsAttn_Post_1_LH,left,-47,-58,-13
17,schaefer,DorsAttn,DorsAttn_Post_2_LH,left,-57,-25,39
18,schaefer,DorsAttn,DorsAttn_Post_3_LH,left,-24,-68,49
19,schaefer,DorsAttn,DorsAttn_Post_4_LH,left,-42,-34,48
20,schaefer,DorsAttn,DorsAttn_Post_5_LH,left,-6,-60,56
21,schaefer,DorsAttn,DorsAttn_Post_6_LH,left,-22,-51,66
22,schaefer,DorsAttn,DorsAttn_PrCv_1_LH,left,-48,6,28
23,schaefer,DorsAttn,DorsAttn_FEF_1_LH,left,-26,-3,59
24,schaefer,SalVentAttn,SalVentAttn_ParOper_1_LH,left,-59,-38,29
25,schaefer,SalVentAttn,SalVentAttn_FrOperIns_1_LH,left,-41,-1,-7
26,schaefer,SalVentAttn,SalVentAttn_FrOperIns_2_LH,left,-38,12,6
27,schaefer,SalVentAttn,SalVentAttn_PFCl_1_LH,left,-30,44,30
28,schaefer,SalVentAttn,SalVentAttn_Med_1_LH,left,-5,20,34
29,schaefer,SalVentAttn,SalVentAttn_Med_2_LH,left,-11,-34,45
30,schaefer,SalVentAttn,SalVentAttn_Med_3_LH,left,-6,4,62
31,schaefer,Limbic,Limbic_OFC_1_LH,left,-14,32,-20
32,schaefer,Limbic,Limbic_TempPole_1_LH,left,-32,2,-37
33,schaefer,Limbic,Limbic_TempPole_2_LH,left,-57,-33,-21
34,schaefer,Cont,Cont_Par_1_LH,left,-37,-53,46
35,schaefer,Cont,Cont_PFCl_1_LH,left,-43,33,21
36,schaefer,Cont,Cont_pCun_1_LH,left,-9,-73,38
37,schaefer,Cont,Cont_Cing_1_LH,left,-4,-26,33
38,schaefer,Default,Default_Temp_1_LH,left,-55,-4,-20
39,schaefer,Default,Default_Temp_2_LH,left,-58,-32,-1
40,schaefer,Default,Default_Par_1_LH,left,-57,-50,12
41,schaefer,Default,Default_Par_2_LH,left,-48,-63,35
42,schaefer,Default,Default_PFC_1_LH,left,-35,21,-11
43,schaefer,Default,Default_PFC_2_LH,left,-47,33,-3
44,schaefer,Default,Default_PFC_3_LH,left,-6,47,0
45,schaefer,Default,Default_PFC_4_LH,left,-24,61,-1
46,schaefer,Default,Default_PFC_5_LH,left,-9,48,41
47,schaefer,Default,Default_PFC_6_LH,left,-41,14,48
48,schaefer,Default,Default_PFC_7_LH,left,-25,20,51
49,schaefer,Default,Default_pCunPCC_1_LH,left,-11,-56,13
50,schaefer,Default,Default_pCunPCC_2_LH,left,-6,-53,33
51,schaefer,Vis,Vis_1_RH,right,32,-31,-22
52,schaefer,Vis,Vis_2_RH,right,27,-66,-12
53,schaefer,Vis,Vis_3_RH,right,49,-60,-11
54,schaefer,Vis,Vis_4_RH,right,22,-96,-5
55,schaefer,Vis,Vis_5_RH,right,8,-76,5
56,schaefer,Vis,Vis_6_RH,right,17,-57,5
57,schaefer,Vis,Vis_7_RH,right,36,-82,16
58,schaefer,Vis,Vis_8_RH,right,13,-86,29
59,schaefer,SomMot,SomMot_1_RH,right,53,-16,7
60,schaefer,SomMot,SomMot_2_RH,right,40,-15,15
61,schaefer,SomMot,SomMot_3_RH,right,57,-4,11
62,schaefer,SomMot,SomMot_4_RH,right,58,-5,31
63,schaefer,SomMot,SomMot_5_RH,right,47,-11,48
64,schaefer,SomMot,SomMot_6_RH,right,41,-22,60
65,schaefer,SomMot,SomMot_7_RH,right,30,-37,64
66,schaefer,SomMot,SomMot_8_RH,right,6,-26,70
67,schaefer,DorsAttn,DorsAttn_Post_1_RH,right,50,-62,16
68,schaefer,DorsAttn,DorsAttn_Post_2_RH,right,50,-24,42
69,schaefer,DorsAttn,DorsAttn_Post_3_RH,right,38,-45,49
70,schaefer,DorsAttn,DorsAttn_Post_4_RH,right,27,-67,51
71,schaefer,DorsAttn,DorsAttn_Post_5_RH,right,14,-52,66
72,schaefer,DorsAttn,DorsAttn_PrCv_1_RH,right,49,10,27
73,schaefer,DorsAttn,DorsAttn_FEF_1_RH,right,28,-3,59
74,schaefer,SalVentAttn,SalVentAttn_TempOccPar_1_RH,right,58,-42,13
75,schaefer,SalVentAttn,SalVentAttn_TempOccPar_2_RH,right,61,-26,27
76,schaefer,SalVentAttn,SalVentAttn_FrOperIns_1_RH,right,40,8,1
77,schaefer,SalVentAttn,SalVentAttn_Med_1_RH,right,11,-31,45
78,schaefer,SalVentAttn,SalVentAttn_Med_2_RH,right,7,6,52
79,schaefer,Limbic,Limbic_OFC_1_RH,right,12,35,-20
80,schaefer,Limbic,Limbic_TempPole_1_RH,right,38,1,-38
81,schaefer,Cont,Cont_Par_1_RH,right,57,-39,44
82,schaefer,Cont,Cont_Par_2_RH,right,45,-63,46
83,schaefer,Cont,Cont_PFCl_1_RH,right,30,58,-3
84,schaefer,Cont,Cont_PFCl_2_RH,right,45,39,15
85,schaefer,Cont,Cont_PFCl_3_RH,right,32,46,29
86,schaefer,Cont,Cont_PFCl_4_RH,right,43,16,45
87,schaefer,Cont,Cont_Cing_1_RH,right,5,-27,33
88,schaefer,Cont,Cont_PFCmp_1_RH,right,6,28,30
89,schaefer,Cont,Cont_pCun_1_RH,right,9,-66,43
90,schaefer,Default,Default_Par_1_RH,right,55,-51,31
91,schaefer,Default,Default_Temp_1_RH,right,62,-23,-19
92,schaefer,Default,Default_Temp_2_RH,right,51,7,-18
93,schaefer,Default,Default_Temp_3_RH,right,57,-26,-2
94,schaefer,Default,Default_PFCv_1_RH,right,35,26,-15
95,schaefer,Default,Default_PFCv_2_RH,right,51,28,0
96,schaefer,Default,Default_PFCdPFCm_1_RH,right,7,48,1
97,schaefer,Default,Default_PFCdPFCm_2_RH,right,11,50,39
98,schaefer,Default,Default_PFCdPFCm_3_RH,right,26,24,50
99,schaefer,Default,Default_pCunPCC_1_RH,right,12,-54,14
100,schaefer,Default,Default_pCunPCC_2_RH,right,7,-52,31
101,tian_subcortex,HIP,HIP-head-rh,right,26,-14,-20
102,tian_subcortex,HIP,HIP-body-rh,right,30,-25,-12
103,tian_subcortex,HIP,HIP-tail-rh,right,26,-36,-3
104,tian_subcortex,AMY,lAMY-rh,right,26,-2,-21
105,tian_subcortex,AMY,mAMY-rh,right,21,-7,-15
106,tian_subcortex,THA,THA-DP-rh,right,14,-31,3
107,tian_subcortex,THA,THA-VP-rh,right,16,-23,4
108,tian_subcortex,THA,THA-VA-rh,right,9,-11,7
109,tian_subcortex,THA,THA-DA-rh,right,11,-22,12
110,tian_subcortex,GP,pGP-rh,right,23,-8,-1
111,tian_subcortex,GP,aGP-rh,right,18,0,-2
112,tian_subcortex,NAc,NAc-shell-rh,right,11,12,-6
113,tian_subcortex,NAc,NAc-core-rh,right,14,19,-1
114,tian_subcortex,PUT,aPUT-rh,right,23,9,-2
115,tian_subcortex,PUT,pPUT-rh,right,28,-6,4
116,tian_subcortex,CAU,aCAU-rh,right,13,14,8
117,tian_subcortex,CAU,pCAU-rh,right,14,3,16
118,tian_subcortex,HIP,HIP-head-lh,left,-25,-14,-20
119,tian_subcortex,HIP,HIP-body-lh,left,-29,-25,-12
120,tian_subcortex,HIP,HIP-tail-lh,left,-25,-36,-3
121,tian_subcortex,AMY,lAMY-lh,left,-25,-2,-21
122,tian_subcortex,AMY,mAMY-lh,left,-20,-7,-15
